assessment_id,harness_id,project_name,ref,generated_at,rubric_version,ai_native_class,verdict,recommended_topology,harness_kind,execution_model,state_mode,tool_mode,metric_id,metric_group,vsm_function,axis,scenario,workload_id,value,max_value,unit,status,confidence,evidence_level,availability
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,adoption.agentic_operational_plurality,adoption,,dimension,,,4,4,score,assessed,high,E2,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,adoption.coordination_pressure,adoption,S2,dimension,,,3,4,score,assessed,medium,E3,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,adoption.economic_headroom,adoption,S3,dimension,,,1,4,score,assessed,low,E0,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,adoption.environmental_volatility,adoption,S4,dimension,,,2,4,score,assessed,low,E1,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,adoption.identity_policy_tension,adoption,S5,dimension,,,1,4,score,assessed,low,E1,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,adoption.information_asymmetry,adoption,S3*,dimension,,,3,4,score,assessed,medium,E2,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,adoption.observability_readiness,adoption,Observability,dimension,,,2,4,score,assessed,medium,E2,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,adoption.persistence,adoption,,dimension,,,2,4,score,assessed,medium,E1,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,adoption.readiness,adoption,,aggregate,,,18,32,score,assessed,medium,E2,available
salesforce-agentlite-main-2026-09-11,salesforce-agentlite,AgentLite,main (commit unavailable),2026-09-11T00:00:00+03:00,vsmskill/v1,AI-NATIVE,MODULAR,modular,framework,manager-workers,session,fixed,compute.calls,compute,,upper_bound,current,unbounded-generic-task,420,,llm_calls_per_run,modeled,medium,E2,available
